gid,lon,lat,overlap_class,E_high,P_high,adjusted_ch4,index_ch4,density_land_area,coast_distance_km,land_fraction
37.35_119.45,119.45,37.35,Neither,False,False,0.7906300784827839,-0.7000401988199948,,24.225797246237487,0.0
37.35_119.55,119.55,37.35,Neither,False,False,-0.913531822506508,-0.7005356406318,,23.208280452691994,0.0
37.35_119.65,119.65,37.35,Neither,False,False,1.0057152712928783,-0.7006445727117724,,17.31433028098766,0.0
37.35_119.75,119.75,37.35,Neither,False,False,-32.548314798245194,-0.7006445727117724,,8.515234421351042,0.0
37.35_119.85,119.85,37.35,Neither,False,False,-2.3013249670382634,-0.7006445727117724,0.0,0.774513567503476,0.2776185985981376
37.35_119.95,119.95,37.35,Neither,False,False,12.095617259931114,-0.453193499839141,0.0,4.273516716537465,0.9204207994890702
37.45_117.85,117.85,37.45,Neither,False,False,-0.8470143862374696,0.0592263297068845,1.0493223685011648,79.41454695147226,1.0
37.45_117.95,117.95,37.45,Neither,False,False,0.6008683545993813,0.5086348030119665,0.3158154701314185,77.58567861683484,1.0
37.45_118.05,118.05,37.45,Pumpjack only,False,True,1.868367536004684,0.3213789764346899,4.411228986029169,76.73182035639597,1.0
37.45_118.15,118.15,37.45,Pumpjack only,False,True,1.8036783502842333,0.1939687900505836,4.502917348325387,70.48957518396341,1.0
37.45_118.25,118.25,37.45,Neither,False,False,-1.6172859355818867,0.2814333054006401,0.3565658533741822,61.74081706871901,1.0
37.45_118.35,118.35,37.45,Pumpjack only,False,True,1.7777065383467825,0.0851415878986775,2.4755857819978937,53.01362320059504,1.0
37.45_118.45,118.45,37.45,Both high,True,True,3.620076203121225,1.4983850993235484,2.0171439705168024,44.320734055750485,1.0
37.45_118.55,118.55,37.45,EDGAR only,True,False,1.923844416268182,1.741304373484393,0.652006131884219,35.6872268391746,1.0
37.45_118.65,118.65,37.45,EDGAR only,True,False,-1.0977799291417265,1.4121071864083197,0.7844448774232009,27.16976852210932,1.0
37.45_118.75,118.75,37.45,Neither,False,False,1.7502071931060657,0.5229041625118002,0.6621937276949098,18.925695587314035,1.0
37.45_118.85,118.85,37.45,Neither,False,False,-3.3198632969877977,0.0273382909711323,0.5908805570200734,11.555736896736745,1.0
37.45_118.95,118.95,37.45,Neither,False,False,-16.77658878839836,-0.5580342958724801,0.0,8.01596075550386,0.509255640904297
37.45_119.05,119.05,37.45,Neither,False,False,-16.610159651193676,-0.7004641625195264,,12.168215325514204,0.0
37.45_119.15,119.15,37.45,Neither,False,False,0.4150997067768331,-0.6147637867315422,,19.20706955848692,0.0
37.45_119.25,119.25,37.45,Neither,False,False,4.030685863129949,0.4417440132364428,,24.703231246310995,0.0
37.45_119.35,119.35,37.45,Neither,False,False,-1.0084002707905442,-0.1302227109327232,,26.060201003520262,0.0
37.45_119.45,119.45,37.45,Neither,False,False,0.3790389957528207,-0.1515771915637401,,30.05638016334121,0.0
37.45_119.55,119.55,37.45,Neither,False,False,1.252746763908132,-0.6471260932800393,,28.67014636369194,0.0
37.45_119.65,119.65,37.45,Neither,False,False,1.408651807676526,-0.6925060858801472,,20.951937579444227,0.0
37.45_119.75,119.75,37.45,Neither,False,False,-2.371010693339141,-0.7005356406318,,13.86033635790884,0.0
37.45_119.85,119.85,37.45,Neither,False,False,-9.660777761645068,-0.5547575320138306,,9.27056292628644,0.0
37.45_119.95,119.95,37.45,Neither,False,False,4.490584366625152,1.1912367122860343,0.0,5.2535599981699885,0.0398038683736026
