gid,lon,lat,total_area_km2,land_area_km2,land_fraction,n_pumpjacks_raw,n_pumpjacks_unique,density_total_area,density_land_area
37.55_119.25,119.25,37.55,98.02721624997304,0.0,0.0,0,0,0.0,
37.55_119.35,119.35,37.55,98.02721624997304,0.0,0.0,0,0,0.0,
37.55_119.45,119.45,37.55,98.02721624997304,0.0,0.0,0,0,0.0,
37.55_119.55,119.55,37.55,98.02721624997304,0.0,0.0,0,0,0.0,
37.55_119.65,119.65,37.55,98.02721624997304,0.0,0.0,0,0,0.0,
37.55_119.75,119.75,37.55,98.02721624997304,0.0,0.0,0,0,0.0,
37.55_119.85,119.85,37.55,98.02721624997304,0.0,0.0,0,0,0.0,
37.55_119.95,119.95,37.55,98.02721624997304,0.0,0.0,0,0,0.0,
37.65_117.85,117.85,37.65,97.89554784464204,97.89554784464204,1.0,0,0,0.0,0.0
37.65_117.95,117.95,37.65,97.89554784464204,97.89554784464204,1.0,0,0,0.0,0.0
37.65_118.05,118.05,37.65,97.89554784464204,97.89554784464204,1.0,0,0,0.0,0.0
37.65_118.15,118.15,37.65,97.89554784464204,97.89554784464204,1.0,2,2,0.0204299382763959,0.0204299382763959
37.65_118.25,118.25,37.65,97.89554784464204,97.89554784464204,1.0,160,158,1.6139651238352772,1.6139651238352772
37.65_118.35,118.35,37.65,97.89554784464204,97.89554784464204,1.0,162,161,1.6446100312498713,1.6446100312498713
37.65_118.45,118.45,37.65,97.89554784464204,97.89554784464204,1.0,95,94,0.960207098990608,0.960207098990608
37.65_118.55,118.55,37.65,97.89554784464204,97.89554784464204,1.0,6,6,0.0612898148291877,0.0612898148291877
37.65_118.65,118.65,37.65,97.89554784464204,97.89554784464204,1.0,0,0,0.0,0.0
37.65_118.75,118.75,37.65,97.89554784464204,97.89554784464204,1.0,0,0,0.0,0.0
37.65_118.85,118.85,37.65,97.89554784464204,97.89554784464204,1.0,0,0,0.0,0.0
37.65_118.95,118.95,37.65,97.89554784464204,91.67699005827308,0.9364776241281404,0,0,0.0,0.0
37.65_119.05,119.05,37.65,97.89554784464204,9.63345269113779,0.0984054219342625,0,0,0.0,0.0
37.65_119.15,119.15,37.65,97.89554784464204,0.4283183179795742,0.0043752583994862,0,0,0.0,0.0
37.65_119.25,119.25,37.65,97.89554784464204,13.110860582441092,0.1339270362248518,0,0,0.0,0.0
37.65_119.35,119.35,37.65,97.89554784464204,0.0,0.0,0,0,0.0,
37.65_119.45,119.45,37.65,97.89554784464204,0.0,0.0,0,0,0.0,
37.65_119.55,119.55,37.65,97.89554784464204,0.0,0.0,0,0,0.0,
37.65_119.65,119.65,37.65,97.89554784464204,0.0,0.0,0,0,0.0,
37.65_119.75,119.75,37.65,97.89554784464204,0.0,0.0,0,0,0.0,
37.65_119.85,119.85,37.65,97.89554784464204,0.0,0.0,0,0,0.0,
37.65_119.95,119.95,37.65,97.89554784464204,0.0,0.0,0,0,0.0,
37.75_117.85,117.85,37.75,97.76358123248004,97.76358123248004,1.0,0,0,0.0,0.0
37.75_117.95,117.95,37.75,97.76358123248004,97.76358123248004,1.0,0,0,0.0,0.0
37.75_118.05,118.05,37.75,97.76358123248004,97.76358123248004,1.0,0,0,0.0,0.0
37.75_118.15,118.15,37.75,97.76358123248004,97.76358123248004,1.0,1,1,0.0102287578604758,0.0102287578604758
37.75_118.25,118.25,37.75,97.76358123248004,97.76358123248004,1.0,0,0,0.0,0.0
37.75_118.35,118.35,37.75,97.76358123248004,97.76358123248004,1.0,0,0,0.0,0.0
37.75_118.45,118.45,37.75,97.76358123248004,97.76358123248004,1.0,83,80,0.8183006288380683,0.8183006288380683
37.75_118.55,118.55,37.75,97.76358123248004,97.76358123248004,1.0,11,11,0.1125163364652344,0.1125163364652344
37.75_118.65,118.65,37.75,97.76358123248004,97.76358123248004,1.0,124,121,1.2376797011175784,1.2376797011175784
37.75_118.75,118.75,37.75,97.76358123248004,97.76358123248004,1.0,17,16,0.1636601257676136,0.1636601257676136
37.75_118.85,118.85,37.75,97.76358123248004,97.76358123248004,1.0,117,117,1.1967646696756749,1.1967646696756749
37.75_118.95,118.95,37.75,97.76358123248004,97.76358123248004,1.0,33,33,0.3375490093957032,0.3375490093957032
37.75_119.05,119.05,37.75,97.76358123248004,74.93669902533293,0.7665093491934875,33,33,0.3375490093957032,0.4403716794203077
37.75_119.15,119.15,37.75,97.76358123248004,77.49599081277847,0.7926877251815724,75,75,0.767156839535689,0.9677920007654524
37.75_119.25,119.25,37.75,97.76358123248004,44.049795497208834,0.4505746919444287,0,0,0.0,0.0
37.75_119.35,119.35,37.75,97.76358123248004,0.0,0.0,0,0,0.0,
37.75_119.45,119.45,37.75,97.76358123248004,0.0,0.0,0,0,0.0,
37.75_119.55,119.55,37.75,97.76358123248004,0.0,0.0,0,0,0.0,
37.75_119.65,119.65,37.75,97.76358123248004,0.0,0.0,0,0,0.0,
37.75_119.75,119.75,37.75,97.76358123248004,0.0,0.0,0,0,0.0,
37.75_119.85,119.85,37.75,97.76358123248004,0.0,0.0,0,0,0.0,
37.75_119.95,119.95,37.75,97.76358123248004,0.0,0.0,0,0,0.0,
37.85_117.85,117.85,37.85,97.63131681550352,97.63131681550352,1.0,58,57,0.5838290607891155,0.5838290607891155
37.85_117.95,117.95,37.85,97.63131681550352,97.63131681550352,1.0,13,13,0.1331539963203246,0.1331539963203246
37.85_118.05,118.05,37.85,97.63131681550352,97.63131681550352,1.0,0,0,0.0,0.0
37.85_118.15,118.15,37.85,97.63131681550352,97.63131681550352,1.0,0,0,0.0,0.0
37.85_118.25,118.25,37.85,97.63131681550352,97.63131681550352,1.0,41,41,0.4199472191641006,0.4199472191641006
37.85_118.35,118.35,37.85,97.63131681550352,97.63131681550352,1.0,118,118,1.2086285819844846,1.2086285819844846
37.85_118.45,118.45,37.85,97.63131681550352,97.63131681550352,1.0,22,22,0.2253375322343954,0.2253375322343954
37.85_118.55,118.55,37.85,97.63131681550352,97.63131681550352,1.0,2,2,0.0204852302031268,0.0204852302031268
37.85_118.65,118.65,37.85,97.63131681550352,97.63131681550352,1.0,159,159,1.6285758011485854,1.6285758011485854
37.85_118.75,118.75,37.85,97.63131681550352,97.63131681550352,1.0,1306,1299,13.305157016930895,13.305157016930895
37.85_118.85,118.85,37.85,97.63131681550352,97.63131681550352,1.0,1024,1020,10.4474674035947,10.4474674035947
37.85_118.95,118.95,37.85,97.63131681550352,97.63131681550352,1.0,91,91,0.932077974242272,0.932077974242272
37.85_119.05,119.05,37.85,97.63131681550352,97.63131681550352,1.0,1580,1575,16.1321187849624,16.1321187849624
37.85_119.15,119.15,37.85,97.63131681550352,33.31544700264931,0.3412373005846719,0,0,0.0,0.0
37.85_119.25,119.25,37.85,97.63131681550352,0.3271657489240169,0.0033510328406434,0,0,0.0,0.0
37.85_119.35,119.35,37.85,97.63131681550352,0.0,0.0,0,0,0.0,
37.85_119.45,119.45,37.85,97.63131681550352,0.0,0.0,0,0,0.0,
37.85_119.55,119.55,37.85,97.63131681550352,0.0,0.0,0,0,0.0,
37.85_119.65,119.65,37.85,97.63131681550352,0.0,0.0,0,0,0.0,
37.85_119.75,119.75,37.85,97.63131681550352,0.0,0.0,0,0,0.0,
37.85_119.85,119.85,37.85,97.63131681550352,0.0,0.0,0,0,0.0,
37.85_119.95,119.95,37.85,97.63131681550352,0.0,0.0,0,0,0.0,
37.95_117.85,117.85,37.95,97.49875499660202,97.49875499660202,1.0,59,59,0.6051359322696607,0.6051359322696607
37.95_117.95,117.95,37.95,97.49875499660202,97.49875499660202,1.0,69,68,0.6974448032938462,0.6974448032938462
37.95_118.05,118.05,37.95,97.49875499660202,97.49875499660202,1.0,0,0,0.0,0.0
37.95_118.15,118.15,37.95,97.49875499660202,97.49875499660202,1.0,0,0,0.0,0.0
37.95_118.25,118.25,37.95,97.49875499660202,97.49875499660202,1.0,85,85,0.8718060041173078,0.8718060041173078
37.95_118.35,118.35,37.95,97.49875499660202,97.49875499660202,1.0,143,143,1.4666853951620589,1.4666853951620589
37.95_118.45,118.45,37.95,97.49875499660202,97.49875499660202,1.0,144,144,1.4769419363869685,1.4769419363869685
37.95_118.55,118.55,37.95,97.49875499660202,97.49875499660202,1.0,80,79,0.8102667567678508,0.8102667567678508
37.95_118.65,118.65,37.95,97.49875499660202,97.49875499660202,1.0,235,231,2.369261022954096,2.369261022954096
37.95_118.75,118.75,37.95,97.49875499660202,97.49875499660202,1.0,23,22,0.225643906948009,0.225643906948009
37.95_118.85,118.85,37.95,97.49875499660202,97.49875499660202,1.0,113,113,1.1589891584147738,1.1589891584147738
37.95_118.95,118.95,37.95,97.49875499660202,91.86812460795043,0.942249207296567,108,107,1.0974499110653169,1.1647130107055652
37.95_119.05,119.05,37.95,97.49875499660202,39.45354764536023,0.4046569378935685,688,687,7.046243821512829,17.41288276976511
37.95_119.15,119.15,37.95,97.49875499660202,0.0,0.0,0,0,0.0,
37.95_119.25,119.25,37.95,97.49875499660202,0.0,0.0,0,0,0.0,
37.95_119.35,119.35,37.95,97.49875499660202,0.0,0.0,0,0,0.0,
37.95_119.45,119.45,37.95,97.49875499660202,0.0,0.0,0,0,0.0,
37.95_119.55,119.55,37.95,97.49875499660202,0.0,0.0,0,0,0.0,
37.95_119.65,119.65,37.95,97.49875499660202,0.0,0.0,0,0,0.0,
37.95_119.75,119.75,37.95,97.49875499660202,0.0,0.0,0,0,0.0,
37.95_119.85,119.85,37.95,97.49875499660202,0.0,0.0,0,0,0.0,
37.95_119.95,119.95,37.95,97.49875499660202,0.0,0.0,0,0,0.0,
38.05_117.85,117.85,38.05,97.3658961795774,97.3658961795774,1.0,0,0,0.0,0.0
38.05_117.95,117.95,38.05,97.3658961795774,97.3658961795774,1.0,15,15,0.1540580489531433,0.1540580489531433
38.05_118.05,118.05,38.05,97.3658961795774,97.3658961795774,1.0,0,0,0.0,0.0
38.05_118.15,118.15,38.05,97.3658961795774,97.3658961795774,1.0,211,211,2.167083221940882,2.167083221940882
38.05_118.25,118.25,38.05,97.3658961795774,97.3658961795774,1.0,119,118,1.2119233184313938,1.2119233184313938
38.05_118.35,118.35,38.05,97.3658961795774,97.3658961795774,1.0,10,10,0.1027053659687621,0.1027053659687621
38.05_118.45,118.45,38.05,97.3658961795774,96.67850026860832,0.9929400751398492,0,0,0.0,0.0
38.05_118.55,118.55,38.05,97.3658961795774,80.06906284019351,0.8223522401777892,3,2,0.0205410731937524,0.0249784364779155
