gid,lon,lat,priority_class,evidence_type,evidence_count,E_high,P_high,A_high,land_area_km2,density_land_area,adjusted_ch4,index_ch4,coast_distance_km
37.45_119.85,119.85,37.45,Reference,,0,False,False,False,0.0,,-9.660777761645068,-0.5547575320138306,9.27056292628644
37.45_119.95,119.95,37.45,Priority 4,A,1,False,False,True,3.907091438770294,0.0,4.490584366625152,1.1912367122860343,5.2535599981699885
37.55_117.85,117.85,37.55,Reference,,0,False,False,False,98.02721624997304,0.0,-0.6465642359049534,0.0543384054396518,68.69277718471253
37.55_117.95,117.95,37.55,Priority 4,A,1,False,False,True,98.02721624997304,0.0,-0.0194176564535559,0.2163849102070197,66.60681490702498
37.55_118.05,118.05,37.55,Reference,,0,False,False,False,98.02721624997304,0.0,-0.7766210737305909,-0.20276042745678,65.61023183033365
37.55_118.15,118.15,37.55,Priority 4,A,1,False,False,True,98.02721624997304,1.5097847889773237,0.6622592612053901,-0.7006445727117724,65.7898527088018
37.55_118.25,118.25,37.55,Reference,,0,False,False,False,98.02721624997304,1.0303261059912816,-0.1386153948347589,-0.7006445727117724,62.42360266404987
37.55_118.35,118.35,37.55,Priority 3,EP,2,True,True,False,98.02721624997304,2.856349600767909,-2.0057076582482463,1.42124288975626,53.615412593969246
37.55_118.45,118.45,37.55,Priority 2,EA,2,True,False,True,98.02721624997304,1.275156071771388,2.252927077816598,1.4234536321242213,44.809443597618895
37.55_118.55,118.55,37.55,Priority 4,A,1,False,False,True,98.02721624997304,0.6426786601727796,3.4624563749938915,1.096774877495443,36.00732527249242
37.55_118.65,118.65,37.55,Priority 4,A,1,False,False,True,98.02721624997304,0.1836224743350799,0.4800814565402148,0.6752897349353171,27.212794433393004
37.55_118.75,118.75,37.55,Priority 4,A,1,False,False,True,98.02721624997304,0.979319863120426,4.676200214000325,0.3367343727715828,18.436712242520898
37.55_118.85,118.85,37.55,Reference,,0,False,False,False,98.02721624997304,0.0,-3.448650213317663,-0.7006445727117724,9.72913180079212
37.55_118.95,118.95,37.55,Reference,,0,False,False,False,61.51440345495939,0.0,-14.526533644205305,-0.7006445727117724,2.183374160582442
37.55_119.05,119.05,37.55,Reference,,0,False,False,False,0.0,,-17.617293411711437,-0.6994386326531645,7.693908828555577
37.55_119.15,119.15,37.55,Priority 4,A,1,False,False,True,0.0,,2.1242997494724327,-0.699415486010042,15.167047224834526
37.55_119.25,119.25,37.55,Priority 4,A,1,False,False,True,0.0,,2.885535741925194,-0.6951490891976138,13.575367943878282
37.55_119.35,119.35,37.55,Priority 4,A,1,False,False,True,0.0,,0.3489074911844324,-0.6606657651835873,15.91147564328465
37.55_119.45,119.45,37.55,Priority 4,A,1,False,False,True,0.0,,-0.077559173130902,-0.4017199992552088,21.850102272672626
37.55_119.55,119.55,37.55,Priority 4,A,1,False,False,True,0.0,,1.7932584271524294,0.0698181736191509,29.27535399188054
37.55_119.65,119.65,37.55,Priority 4,A,1,False,False,True,0.0,,0.7776870106683793,-0.0866853966856032,28.027312889172595
37.55_119.75,119.75,37.55,Priority 4,A,1,False,False,True,0.0,,0.6808866395542077,-0.6384038786321093,23.112574684035103
37.55_119.85,119.85,37.55,Reference,,0,False,False,False,0.0,,-1.3456250415961355,0.4414468802223541,19.321816990691865
37.55_119.95,119.95,37.55,Priority 4,A,1,False,False,True,0.0,,0.7174835163133156,-0.4599168324276169,14.878255590553971
37.65_117.85,117.85,37.65,Reference,,0,False,False,False,97.89554784464204,0.0,-0.6288106282962497,0.2038072654934337,58.07501743324104
37.65_117.95,117.95,37.65,Priority 4,A,1,False,False,True,97.89554784464204,0.0,-0.026607008116296,-0.7006445727117724,55.688786175338485
37.65_118.05,118.05,37.65,Reference,,0,False,False,False,97.89554784464204,0.0,-2.066461706465572,-0.5670021622765464,54.492895265841874
37.65_118.15,118.15,37.65,Reference,,0,False,False,False,97.89554784464204,0.0204299382763959,-1.095052902814459,1.35729915810526,54.709028807590094
37.65_118.25,118.25,37.65,Priority 2,EA,2,True,False,True,97.89554784464204,1.6139651238352772,1.7841020113456127,1.427645708127107,53.25033402173616
37.65_118.35,118.35,37.65,Priority 4,A,1,False,False,True,97.89554784464204,1.6446100312498713,4.237208374292124,0.7702683513493537,49.579100283179336
37.65_118.45,118.45,37.65,Priority 4,A,1,False,False,True,97.89554784464204,0.960207098990608,3.1847123078647828,-0.0114251922179851,46.26061361031523
37.65_118.55,118.55,37.65,Priority 4,A,1,False,False,True,97.89554784464204,0.0612898148291877,2.4351174950402905,0.7912246001436878,37.54791994495675
37.65_118.65,118.65,37.65,Priority 4,A,1,False,False,True,97.89554784464204,0.0,0.5190598459979673,-0.7006445727117724,28.89663791216942
37.65_118.75,118.75,37.65,Priority 4,A,1,False,False,True,97.89554784464204,0.0,5.105305618190652,-0.7006445727117724,20.38510590861764
37.65_118.85,118.85,37.65,Priority 4,A,1,False,False,True,97.89554784464204,0.0,5.897315566971447,-0.7006445727117724,11.981379050815166
37.65_118.95,118.95,37.65,Reference,,0,False,False,False,91.67699005827308,0.0,-5.237585047965715,-0.7006445727117724,4.173892883580374
37.65_119.05,119.05,37.65,Reference,,0,False,False,False,9.63345269113779,0.0,-1.9228100434531283,-0.6990633095651341,3.4843351465410146
37.65_119.15,119.15,37.65,Priority 4,A,1,False,False,True,0.4283183179795742,0.0,3.909850093643676,-0.7002684337607282,6.598680536725649
37.65_119.25,119.25,37.65,Reference,,0,False,False,False,13.110860582441092,0.0,-2.142399847470396,-0.6994276656073553,2.484842774628371
37.65_119.35,119.35,37.65,Reference,,0,False,False,False,0.0,,-5.128138795019718,-0.6651785351412157,8.663653152670957
37.65_119.45,119.45,37.65,Reference,,0,False,False,False,0.0,,-1.6890985832203067,-0.6495302512691663,17.300601091557425
37.65_119.55,119.55,37.65,Priority 4,A,1,False,False,True,0.0,,1.2986836909984243,-0.4635812929281654,26.05628868724133
37.65_119.65,119.65,37.65,Priority 4,A,1,False,False,True,0.0,,0.1769712048943619,-0.287106697359949,34.84131214551053
37.65_119.75,119.75,37.65,Reference,,0,False,False,False,0.0,,-0.5065917897198184,-0.1158602288164037,33.20180993260605
