gid,lat,lon,n_pumpjacks,grid_area_km2,pumpjack_density_km2,distance_to_nearest_pumpjack_km,distance_to_nearest_high_density_cluster_km,pumpjack_class
37.55_118.05,37.55,118.05,0,98.11564122599933,0.0,7.134809744480222,8.813837695471943,No-well
37.55_118.15,37.55,118.15,150,98.11564122599933,1.528808232058438,3.2312679653106384,0.0,Q4
37.55_118.25,37.55,118.25,103,98.11564122599933,1.0497816526801274,0.8506878470685348,8.813837695471943,Q4
37.55_118.35,37.55,118.35,285,98.11564122599933,2.9047356409110323,0.549242438217825,0.0,Q4
37.55_118.45,37.55,118.45,125,98.11564122599933,1.2740068600486982,0.8713252293169291,0.0,Q4
37.55_118.55,37.55,118.55,64,98.11564122599933,0.6522915123449335,3.90318819870636,8.813837695471943,Q4
37.55_118.65,37.55,118.65,18,98.11564122599933,0.1834569878470125,2.926267570437857,17.627675390945747,Q4
37.55_118.75,37.55,118.75,96,98.11564122599933,0.9784372685174004,1.137152864914457,23.945133762877614,Q4
37.55_118.85,37.55,118.85,0,98.11564122599933,0.0,7.942124238561695,22.264000000000465,No-well
37.55_118.95,37.55,118.95,0,98.11564122599933,0.0,10.962281429279166,23.94513376287848,No-well
37.55_119.05,37.55,119.05,0,98.11564122599933,0.0,18.0957331388336,28.397546296969207,No-well
37.55_119.15,37.55,119.15,0,98.11564122599933,0.0,19.215242834198197,34.539492626878385,No-well
37.55_119.25,37.55,119.25,0,98.11564122599933,0.0,20.030816773757103,37.76278267936018,No-well
37.55_119.35,37.55,119.35,0,98.11564122599933,0.0,24.261268596565543,42.596319445454775,No-well
37.55_119.45,37.55,119.45,0,98.11564122599933,0.0,30.502834378116656,48.56163686238601,No-well
37.55_119.55,37.55,119.55,0,98.11564122599933,0.0,37.65507214792456,55.29363606287268,No-well
37.55_119.65,37.55,119.65,0,98.11564122599933,0.0,45.39552270517864,62.54524181100445,No-well
37.55_119.75,37.55,119.75,0,98.11564122599933,0.0,53.46933677100829,70.15551173774378,No-well
37.55_119.85,37.55,119.85,0,98.11564122599933,0.0,61.745881948765245,78.01956069484523,No-well
37.55_119.95,37.55,119.95,0,98.11564122599933,0.0,70.1534416146097,86.06785314327766,No-well
37.65_117.85,37.65,117.85,0,98.11564122599933,0.0,22.450593929526917,28.39754629696963,No-well
37.65_117.95,37.65,117.95,0,98.11564122599933,0.0,19.33625812866682,20.84841393700008,No-well
37.65_118.05,37.65,118.05,0,98.11564122599933,0.0,13.57418238344112,14.198773148484786,No-well
