replicate,method,mean_dxch4_ppb,n_days,n_high_grids,n_controls,mean_match_distance_km
305,latitude_stratified_random_hotspot,-1.083811048466568,936,38,167,13.531397896307723
306,latitude_stratified_random_hotspot,0.0002697232416594,935,38,167,13.20576328063147
307,latitude_stratified_random_hotspot,-0.3607937278738855,899,38,165,14.980496718257722
308,latitude_stratified_random_hotspot,0.1967924230296742,899,38,171,13.698667581781086
309,latitude_stratified_random_hotspot,0.4334916944515943,885,38,161,14.52696042993786
310,latitude_stratified_random_hotspot,0.1448884241368382,918,38,164,13.90666680714572
311,latitude_stratified_random_hotspot,1.0479090479841762,911,38,162,12.375015518664007
312,latitude_stratified_random_hotspot,-0.3822868201529221,923,38,173,15.898621046386856
313,latitude_stratified_random_hotspot,-0.9266175897351604,890,38,166,14.01026368967486
314,latitude_stratified_random_hotspot,0.8080457235528545,886,38,163,13.321439369556447
315,latitude_stratified_random_hotspot,-0.3000705870453614,936,38,165,13.25472735611123
316,latitude_stratified_random_hotspot,-0.5055138711556277,868,38,164,14.327468276335283
317,latitude_stratified_random_hotspot,0.9474905173983252,855,38,165,15.601068308653202
318,latitude_stratified_random_hotspot,-0.0392028050160183,903,38,164,12.857142764995563
319,latitude_stratified_random_hotspot,0.7756606930330932,966,38,166,14.486062670044465
320,latitude_stratified_random_hotspot,0.0988061893416323,873,38,161,13.480162927308848
321,latitude_stratified_random_hotspot,0.6869549877764709,861,38,169,13.897034250312998
322,latitude_stratified_random_hotspot,0.3103089867308088,922,38,162,14.823105910640416
323,latitude_stratified_random_hotspot,1.0183355391847009,919,38,166,12.88233238305207
324,latitude_stratified_random_hotspot,-0.3014029602651447,872,38,166,14.16159247452109
325,latitude_stratified_random_hotspot,0.225261217744119,894,38,168,14.21450424180171
326,latitude_stratified_random_hotspot,0.0552548833551961,946,38,169,14.20124963018241
327,latitude_stratified_random_hotspot,1.461759052534923,867,38,164,13.983250375624278
328,latitude_stratified_random_hotspot,0.1919766601781533,884,38,168,14.378475001060272
329,latitude_stratified_random_hotspot,0.4945921046198803,866,38,166,13.755440405417426
330,latitude_stratified_random_hotspot,0.6318434882110535,934,38,164,13.331562268674956
331,latitude_stratified_random_hotspot,0.442140050279682,906,38,162,12.373711570990997
332,latitude_stratified_random_hotspot,0.6527650268086297,877,38,166,14.88003685011026
333,latitude_stratified_random_hotspot,0.7185501601920942,890,38,164,13.589917211471391
334,latitude_stratified_random_hotspot,-0.6077669287713753,915,38,167,14.320261282067005
335,latitude_stratified_random_hotspot,-0.2719158220663371,917,38,164,13.29526269572491
336,latitude_stratified_random_hotspot,-0.0608347039086799,960,38,169,15.009767993438135
337,latitude_stratified_random_hotspot,0.2183983771193068,916,38,168,14.318634308126562
338,latitude_stratified_random_hotspot,-0.3243632554377618,905,38,165,14.053180053026775
339,latitude_stratified_random_hotspot,0.0214755510482471,924,38,162,13.259531740672156
340,latitude_stratified_random_hotspot,0.3447748476928133,927,38,161,13.440099477225566
341,latitude_stratified_random_hotspot,-0.0166763746646652,910,38,164,13.424062118519956
342,latitude_stratified_random_hotspot,-0.4234283827873095,872,38,165,14.365169012932258
